iter	Passed	Remaining
669	173869	465815
670	174084	465436
671	174259	464952
672	174461	464540
673	174651	464095
674	174732	463365
675	174915	462904
676	175102	462456
677	175289	462008
678	175474	461556
679	175648	461077
680	175858	460692
681	176002	460135
682	176230	459799
683	176459	459466
684	176717	459207
685	176933	458841
686	177101	458350
687	177284	457898
688	177410	457302
689	177752	457263
690	177832	456547
691	178028	456134
692	178239	455758
693	178438	455352
694	178652	454984
695	178859	454601
696	179070	454228
697	179269	453823
698	179440	453351
699	179658	452996
700	179855	452590
701	180046	452167
702	180248	451776
703	180465	451419
704	180666	451025
705	180862	450619
706	181066	450234
707	181285	449886
708	181681	449975
709	181773	449312
710	181985	448949
711	182275	448777
712	182547	448559
713	182763	448204
714	182912	447687
715	183126	447331
716	183337	446965
717	183477	446426
718	183677	446036
719	183878	445650
720	184070	445241
721	184305	444937
722	184518	444579
723	185362	445741
724	185932	446238
725	186039	445622
726	186122	444952
727	186304	444521
728	186501	444124
729	186693	443717
730	186816	443146
731	187012	442750
732	187435	442889
733	187870	443057
734	188196	442964
735	188339	442443
736	188551	442085
737	188760	441721
738	188968	441353
739	189176	440985
740	189438	440746
741	189682	440461
742	189861	440028
743	189988	439476
744	190167	439045
745	190379	438689
746	190558	438258
747	190693	437727
748	190878	437312
749	191053	436876
750	191262	436516
751	191461	436135
752	191603	435624
753	191795	435228
754	191999	434859
755	192218	434525
756	192335	433962
757	192541	433599
758	192707	433147
759	192884	432721
760	193157	432509
761	193359	432141
762	193551	431748
763	193710	431285
764	193959	431021
765	194095	430506
766	194235	430002
767	194435	429630
768	194603	429190
769	194784	428777
770	194967	428371
771	195158	427984
772	195341	427577
773	195448	427007
774	195638	426618
775	195819	426210
776	196006	425815
777	196153	425336
778	196454	425188
779	196939	425440
780	197624	426119
781	197933	425987
782	198373	426135
783	198545	425708
784	198873	425613
785	199132	425374
786	199404	425160
787	199668	424928
788	199851	424526
789	200057	424173
790	200241	423772
791	200487	423503
792	200751	423274
793	201078	423177
794	201291	422839
795	201488	422466
796	201708	422146
797	201942	421851
798	202166	421539
799	202318	421074
800	202526	420728
801	202741	420396
802	202965	420086
803	203158	419710
804	203353	419336
805	203545	418959
806	203749	418607
807	203946	418241
808	204158	417905
809	204337	417504
810	204492	417053
811	204569	416444
812	204784	416117
813	204909	415609
814	205095	415224
815	205293	414863
816	205395	414310
817	205598	413961
818	205799	413609
819	205981	413218
820	206100	412703
821	206297	412344
822	206395	411787
823	206594	411433
824	206803	411099
825	207015	410772
826	207284	410559
827	207508	410255
828	207710	409909
829	207944	409625
830	208139	409266
831	208302	408843
832	208481	408454
833	208672	408087
834	208851	407697
835	209047	407343
836	209269	407037
837	209464	406680
838	209629	406267
839	209806	405875
840	209990	405498
841	210188	405149
842	210369	404767
843	210515	404318
844	210691	403929
845	210881	403565
846	211065	403192
847	211173	402674
848	211374	402333
849	211554	401953
850	211758	401620
851	211960	401282
852	212171	400961
853	212300	400487
854	212487	400122
855	212654	399720
856	212775	399233
857	212960	398866
858	213145	398500
859	213279	398038
860	213460	397666
861	213579	397178
862	213710	396713
863	213868	396300
864	214053	395936
865	214169	395447
866	214341	395059
867	214485	394624
868	214652	394229
869	214748	393705
870	214932	393343
871	215117	392983
872	215377	392762
873	215593	392459
874	215776	392096
875	215972	391758
876	216153	391392
877	216356	391068
878	216697	390991
879	216900	390667
880	217116	390365
881	217326	390055
882	217440	389569
883	217650	389258
884	217865	388957
885	218016	388542
886	218101	388008
887	218247	387586
888	218442	387250
889	218645	386928
890	218845	386603
891	219041	386269
892	219219	385905
893	219320	385404
894	219505	385053
895	219673	384673
896	219876	384355
897	220028	383947
898	220212	383595
899	220328	383126
900	220504	382762
901	220690	382415
902	220862	382045
903	221067	381733
904	221147	381204
905	221330	380854
906	221416	380337
907	221601	379992
908	221802	379675
909	221991	379337
910	222201	379035
911	222359	378645
912	222569	378343
913	222739	377974
914	222957	377687
915	223155	377366
916	223309	376971
917	223568	376754
918	223701	376324
919	223898	376003
920	224043	375595
921	224148	375120
922	224353	374813
923	224555	374502
924	224750	374178
925	224947	373859
926	225143	373538
927	225300	373153
928	225481	372809
929	225665	372469
930	225867	372159
931	226081	371870
932	226282	371558
933	226472	371231
934	226656	370892
935	226747	370403
936	226819	369882
937	226899	369377
938	227099	369066
939	227295	368750
940	227525	368489
941	227713	368161
942	227936	367888
943	228044	367432
944	228255	367140
945	228455	366833
946	228657	366528
947	228861	366227
948	229109	365995
949	229303	365678
950	229490	365351
951	229682	365031
